,日平均室内温度,日最大室内温度,日最小室内温度
2021/4/1,22.405381942499996,24.924999999999997,19.625
2021/4/2,22.1569444425,24.875,19.6
2021/4/3,22.04045139,23.424999999999997,20.6
2021/4/4,22.371527774999997,23.65,21.025000000000002
2021/4/5,21.410243055000002,26.0,18.1
2021/4/6,20.5366319425,25.375,17.5
2021/4/7,21.083333332500004,25.1,18.125
2021/4/8,21.011458335,23.875,18.35
2021/4/9,20.4831597225,24.650000000000002,17.125
2021/4/10,19.359548609999997,21.2,16.775
2021/4/11,19.646875,21.175,18.05
2021/4/12,20.7996527775,24.1,18.375
2021/4/13,21.2196180525,24.0,18.8
2021/4/14,21.2059027775,24.55,18.125
2021/4/15,20.541840280000002,25.5,17.1
2021/4/16,21.040972222500002,24.7,18.45
2021/4/17,21.0652777775,22.05,19.75
2021/4/18,20.953819445,22.5,19.125
2021/4/19,21.593750002500002,24.224999999999998,18.95
2021/4/20,22.386458335,24.675000000000004,20.05
2021/4/21,22.949305555000002,25.825,20.1
2021/4/22,23.086631945,26.475,20.45
2021/4/23,22.0298611125,25.375,18.475
2021/4/24,21.9956597225,23.225,20.575
2021/4/25,21.953472222499997,23.725,19.475
2021/4/26,21.346354165,25.175,18.05
2021/4/27,21.657291665000002,24.875,19.075
2021/4/28,22.6442708325,24.525,20.625
2021/4/29,22.27673611,23.4,21.175
2021/4/30,22.968923612500003,24.85,21.2
2021/5/1,22.6034722225,23.875000000000004,21.599999999999998
2021/5/2,22.1675347225,23.575,20.15
2021/5/3,21.9968749975,23.025000000000002,21.0
2021/5/4,22.306423612499998,23.35,21.325
2021/5/5,22.559722219999998,23.6,21.599999999999998
2021/5/6,23.2800347225,25.525000000000002,21.05
2021/5/7,23.3032986125,24.950000000000003,21.875
2021/5/8,23.1317708325,24.6,22.0
2021/5/9,23.6715277775,25.125,22.425
2021/5/10,24.065104165,25.925,22.0
2021/5/11,23.613194444999998,25.525,22.025
2021/5/12,23.6116319425,25.375,21.575
2021/5/13,22.98246528,25.400000000000002,20.6
2021/5/14,24.176562500000003,26.95,22.150000000000002
2021/5/15,24.0125,25.05,23.075000000000003
2021/5/16,24.1048611125,24.925,23.225
2021/5/17,25.044791665,26.625,23.549999999999997
2021/5/18,24.664236109999997,26.7,23.299999999999997
2021/5/19,23.7071180575,26.075,21.5
2021/5/20,24.0359375,26.625,21.975
2021/5/21,24.493402777500002,26.299999999999997,22.85
2021/5/22,23.989583332499997,24.925,23.0
2021/5/23,23.8611111125,25.424999999999997,22.425
2021/5/24,24.939583332500003,27.175,23.025000000000002
2021/5/25,25.299305554999997,27.675,23.674999999999997
2021/5/26,25.1671875,27.025,23.1
2021/5/27,24.00642361,26.325000000000003,20.95
2021/5/28,24.6821180575,26.275,23.250000000000004
2021/5/29,24.635243057500002,25.950000000000003,23.725
2021/5/30,24.67204861,25.849999999999998,23.5
2021/5/31,25.0909722225,26.8,23.875
2021/6/1,25.115972222499998,26.875,23.0
2021/6/2,25.4402777775,26.999999999999996,24.099999999999998
2021/6/3,25.504340277500003,26.924999999999997,24.05
2021/6/4,25.262847219999998,27.075,24.075
2021/6/5,24.838715275,25.65,23.95
2021/6/6,25.153472225,26.225,24.25
2021/6/7,25.5432291675,27.6,23.05
2021/6/8,25.630902775000003,28.1,22.875
2021/6/9,25.5987847225,28.474999999999998,23.2
2021/6/10,25.508159720000002,28.225,20.475
2021/6/11,25.709027775000003,28.025000000000002,21.25
2021/6/12,26.0822916675,26.875,25.025
2021/6/13,26.48732639,27.699999999999996,25.525
2021/6/14,26.0748263875,27.950000000000003,23.174999999999997
2021/6/15,25.743055554999998,27.725,21.0
2021/6/16,25.72673611,27.974999999999998,22.175
2021/6/17,25.8737847225,27.925,24.299999999999997
2021/6/18,25.5815972225,27.475,22.799999999999997
2021/6/19,25.500347225,26.2,24.425
2021/6/20,25.485937497499997,26.325000000000003,24.725
2021/6/21,25.3937500025,27.3,21.45
2021/6/22,25.5550347225,27.599999999999998,23.55
2021/6/23,25.694791665,27.5,23.25
2021/6/24,25.5182291675,27.525,23.125
2021/6/25,25.4651041675,27.525,22.1
2021/6/26,25.6657986125,26.675,24.475
2021/6/27,26.135416665,27.025,25.15
2021/6/28,26.119791667500003,28.0,23.950000000000003
2021/6/29,25.544618057500003,27.799999999999997,21.475
2021/6/30,25.413368057499998,27.45,23.675
2021/7/1,25.3996527775,27.55,23.825
2021/7/2,25.128993057499997,26.999999999999996,23.924999999999997
2021/7/3,24.793750000000003,25.825,23.85
2021/7/4,24.710590277499996,25.500000000000004,23.975
2021/7/5,25.31736111,28.0,23.75
2021/7/6,25.681423612499998,27.675,23.924999999999997
2021/7/7,25.795486112499997,27.875,22.15
2021/7/8,25.7875,28.225,23.0
2021/7/9,25.921701390000003,28.25,24.700000000000003
2021/7/10,26.196875000000002,27.35,25.099999999999998
2021/7/11,26.2251736125,27.625,25.075
2021/7/12,26.4815972225,28.7,23.125
2021/7/13,26.235069444999997,28.275,22.925
2021/7/14,26.04861111,27.574999999999996,22.925
2021/7/15,26.0510416675,27.825000000000003,22.35
2021/7/16,26.596006945,29.35,22.625
2021/7/17,26.69357639,28.125,25.15
2021/7/18,27.595659725,29.275,26.174999999999997
2021/7/19,27.815625,31.424999999999997,22.525
2021/7/20,27.4378472225,30.775000000000002,23.474999999999998
2021/7/21,27.2913194425,30.674999999999997,23.1
2021/7/22,27.795659722499998,29.75,25.825
2021/7/23,28.44861111,30.125000000000004,27.1
2021/7/24,28.54548611,30.45,27.15
2021/7/25,28.7137152775,30.1,27.375
2021/7/26,28.000694445,30.575000000000003,23.7
2021/7/27,27.130034722500003,29.724999999999998,22.799999999999997
2021/7/28,27.010937500000004,29.375,22.924999999999997
2021/7/29,26.7100694425,29.5,21.325000000000003
2021/7/30,26.799131945,28.575,23.299999999999997
2021/7/31,27.361979165,28.65,26.224999999999998
2021/8/1,27.9355902775,29.125,26.925
2021/8/2,27.8253472225,30.924999999999997,23.95
2021/8/3,27.2348958325,29.9,22.775
2021/8/4,27.65486111,30.775,23.325000000000003
2021/8/5,27.628819444999998,31.225,23.325
2021/8/6,27.819097222499998,31.299999999999997,23.824999999999996
2021/8/7,28.487499999999997,30.05,26.575
2021/8/8,28.380555555,29.825,27.174999999999997
2021/8/9,27.9536458325,29.025,26.775000000000002
2021/8/10,28.4034722225,32.25,25.924999999999997
2021/8/11,27.8647569425,30.5,23.475
2021/8/12,26.9675347225,28.85,22.9
2021/8/13,26.352777777500002,28.45,23.425
2021/8/14,26.500868054999998,27.5,25.525
2021/8/15,25.713020835,26.475,24.975
2021/8/16,25.286979164999998,27.575000000000003,23.5
2021/8/17,25.5097222225,27.675,24.25
2021/8/18,25.5961805525,27.675,22.525
2021/8/19,25.9666666675,28.950000000000003,21.525000000000002
2021/8/20,26.263020835,29.325,20.925
2021/8/21,26.7552083325,28.575,24.85
2021/8/22,27.3168402775,28.725,26.4
2021/8/23,27.157291665000002,29.349999999999998,21.724999999999998
2021/8/24,26.782291667499997,28.699999999999996,22.6
2021/8/25,27.5284722225,30.525000000000002,23.275000000000002
2021/8/26,28.147395835,31.025,23.424999999999997
2021/8/27,27.9595486125,30.825,24.200000000000003
2021/8/28,27.9699652775,29.625,26.424999999999997
2021/8/29,28.423611112499998,30.05,27.125
2021/8/30,28.1793402775,31.200000000000003,24.225
2021/8/31,27.2536458325,29.7,22.4
2021/9/1,26.09375,28.45,23.25
2021/9/2,25.505555555,27.475,23.425
2021/9/3,25.0579861125,27.25,22.975
2021/9/4,24.881076392500002,25.775,23.825
2021/9/5,24.4862847225,25.2,23.799999999999997
2021/9/6,24.503819445,26.65,22.825
2021/9/7,24.631597222499998,27.074999999999996,23.125
2021/9/8,24.7880208325,26.700000000000003,23.5
2021/9/9,24.62986111,27.2,22.525
2021/9/10,25.3671875,27.525000000000002,23.05
2021/9/11,25.3562500025,26.450000000000003,24.299999999999997
2021/9/12,25.570138887499997,26.450000000000003,24.725
2021/9/13,25.8109375,27.75,22.4
2021/9/14,25.6328124975,27.424999999999997,22.9
2021/9/15,25.6083333325,27.6,21.725
2021/9/16,25.45815972,27.675,22.224999999999998
2021/9/17,25.653993055,27.875,24.150000000000002
2021/9/18,25.698437499999997,26.974999999999998,24.8
2021/9/19,25.4416666675,26.549999999999997,24.25
2021/9/20,25.395833332499997,26.924999999999997,23.775
2021/9/21,25.599479164999998,27.375,23.575
2021/9/22,25.4381944425,27.35,20.975
2021/9/23,25.9480902775,27.8,24.525
2021/9/24,26.0300347225,27.875,22.150000000000002
